656	4068	4130	4192	5076	5140	6340	6972	7004	7160	7192	7352	7384	20000																		
530	782	1540	1602	3816	3878	3940	4824	4888	5330	5392	5550	5565	5834	6466	6720	6908	6940	7096	7130	7224	7256	7414	7446	20000							
278	402	910	1286	1350	1792	1856	2110	2234	2298	2360	2424	3562	3624	3686	4572	4634	5582	5646	6086	6436	6656	6688	6846	6876	7602	7634	20000				
340	466	974	1414	1478	1918	1984	2046	2172	2552	2612	2676	3308	3372	3436	4698	4730	4762	5708	5740	5772	6214	6246	6372	6592	6624	7666	7698	7858	7888	20000	
592	846	1666	1730	2804	2866	2930	4950	4982	5014	5456	5486	5518	5550	5565	5960	5992	6340	6372	6498	6528	7730	7762	7918	7952	8108	8140	8236	8268	8486	8518	20000
718	3058	3120	5204	5236	5268	6404	7982	8014	8172	8204	8360	8392	20000																		
686	4098	4162	4224	4256	4271	4286	4300	5108	5172	7570	7585	7772	7782	20000																	
560	814	1866	1876	1886	3846	3908	3972	4856	4918	5360	5424	6160	6170	6180	6528	6543	6558	6570	8024	8034	20000										
434	942	1612	1622	1632	3592	3656	3718	4256	4271	4286	4300	4604	4666	5908	5918	5928	7649	8278	8288	20000											
498	1004	1740	1750	1760	4745	4792	6034	6044	6054	7713	7903	20000																			
624	878	1994	2004	2014	4997	5044	5501	6286	6296	6306	6528	6543	6558	6570	7772	7782	7967	8155	8278	8288	8533	20000									
750	3244	3259	5251	5300	8024	8034	8219	8407	8550	8565	8580	8590	20000																		
2046	2298	6340	7602	20000																											
2172	2490	5834	5898	6466	7794	20000																									
1036	1098	2740	4004	5582	5646	6086	6150	7288	7414	7476	8044	20000																			
1160	1224	2994	3182	3750	5708	5772	6214	6276	7034	8298	8424	8486	8550	20000																	
2234	3500	5960	6024	6528	6784	20000																									
2110	3308	6404	6592	20000																											
2086	2466	6380	7770	20001																											
2210	2716	5854	5938	6504	8020	20001																									
1066	1128	2970	4232	5602	5666	6106	6190	7374	7436	7546	8274	20001																			
1192	1256	3152	3284	3980	5728	5792	6234	6316	7264	8338	8464	8526	8800	20001																	
2274	3726	5980	6064	6568	7010	20001																									
2148	3476	6442	6760	20001																											
