3422	7634	7682	7732	7830	7880	7928	8982	20000																																														
288	680	1072	1488	1734	2040	2638	2664	2834	2860	3348	3618	5822	5836	6166	6264	6750	6762	6776	7658	7708	7856	7904	8320	8332	8344	8394	8406	8418	9140	9152	9164	20000																						
484	876	1176	1512	1684	1938	2246	2712	2736	2908	2932	3814	4950	5774	5850	6314	6326	6790	6802	6814	7072	7144	8174	8198	8356	8368	8382	9104	9116	9128	9176	9188	9200	20000																					
262	410	434	776	802	1120	1150	1770	1856	2150	2346	2542	2552	2564	3104	3128	3300	3324	3570	3594	4108	4122	4134	4184	5110	5774	5850	6068	6092	6116	6214	6228	6410	6508	6604	6790	6802	6814	6876	6950	7782	7806	7978	8002	8356	8368	8382	9006	9104	9116	9128	9176	9188	9200	20000
606	950	1134	1218	1248	1560	1806	1830	2174	2578	2590	2604	2958	3030	3056	3226	3252	3766	3790	4146	4158	4170	5920	5936	6166	6264	6750	6762	6776	7268	7340	7464	7536	8050	8100	8320	8332	8344	8394	8406	8418	9056	9140	9152	9164	20000									
1232	1634	2198	3960	3986	4378	4770	8026	8076	8124	20000																																												
3446	3472	3496	3520	20000																																																		
312	336	360	704	728	1096	2076	2100	2124	2444	2492	2688	2884	3644	3668	3692	3716	4034	4084	5260	5274	5542	5676	6178	6190	6202	6276	6288	6300	6826	6838	6998	7010	7022	20000																				
94	166	238	508	534	558	900	924	950	1196	1708	1978	2002	2272	2296	2468	2518	2760	2958	3838	3864	3888	3912	4060	4108	4964	4978	5542	5676	5786	5798	5810	5872	5896	7096	7170	7586	7610	8246	8296	20000														
130	1782	1880	1904	2370	2394	2616	2628	3152	3348	4196	4208	5136	5160	5284	5382	5786	5798	5810	5872	5896	6424	6438	6522	6536	6618	6632	6900	6974	7390	7402	7414	9030	20000																					
1586	1610	3080	3276	5064	5088	5284	5382	6178	6190	6202	6276	6288	6300	6826	6838	7194	7218	7292	7364	7488	7560	9080	20000																															
4402	4794	20000																																																				
1464	1856	2346	4010	5970	6652	20000																																																
6018	6556	7244	7316	7438	7512	20000																																																
1268	1366	3178	3374	5184	6458	6850	6924	7560	20000																																													
1316	1414	1538	2786	2982	4992	7046	7120	8222	8272	9240	20000																																											
6386	7170	20000																																																				
1022	1938	2246	6362	20000																																																		
1476	1880	2370	4022	5994	6700	20001																																																
6042	6580	7256	7328	7450	7524	20001																																																
1280	1378	3202	3398	5208	6482	6862	6936	7572	20001																																													
1328	1426	1550	2810	3006	5016	7058	7132	8234	8284	9252	20001																																											
6398	7182	20001																																																				
1034	1962	2270	6374	20001																																																		
