1556	4026	4056	4272	4286	4302	4316	4698	5156	5186	5674	20000																																		
1098	1160	1922	1952	2152	2318	2686	2746	2898	2958	3356	3418	3722	3752	3784	4666	4682	5096	5126	5218	5248	5736	5796	5858	6102	6162	6528	6590	6652	6712	6804	6864	7078	7138	7292	7352	20000									
944	1006	1342	1404	1800	1860	2074	2396	2654	2716	2928	2990	3326	3386	3568	3630	3692	4606	4636	5036	5064	5280	5308	5704	5766	5826	6070	6132	6316	6376	6468	6560	6620	6772	6834	6896	7048	7108	7322	7382	20000					
974	1038	1250	1282	1464	1800	1860	2166	2226	2440	2502	2564	2884	3080	3140	3568	3630	3692	4116	4146	4362	4394	4484	4514	4728	4758	4972	4984	5398	5460	5522	5582	5644	6316	6376	6560	6620	6834	6896	6924	7048	7108	7260	7322	7382	20000
1220	1496	1524	1982	2014	2196	2258	2410	2470	2640	2808	3110	3170	3722	3752	3784	4130	4160	4378	4410	4544	4560	4790	4820	4912	4922	5492	5552	5614	6224	6284	6590	6652	6804	6864	7018	7078	7138	7170	7292	7352	20000				
1678	4176	4424	4576	4852	4882	5888	5918	6254	20000																																				
1586	1618	1648	4072	4086	4332	4346	5338	5352	5366	5380	20000																																		
3478	3736	3768	3800	4498	4528	6956	6970	7230	7244	20000																																			
150	180	212	242	274	304	334	364	394	424	456	486	1830	1892	3448	3598	3660	3844	3874	3904	6346	6408	6986	7000	7200	7214	20000																			
578	608	638	668	700	730	760	792	822	852	884	914	1830	1892	3202	3264	3598	3660	3844	3874	3904	5948	5980	6010	6040	6346	6408	6512	6742	20000																
3232	3294	3736	3768	3800	4620	4650	6498	6756	20000																																				
1708	1738	1770	20000																																										
3508	4852	20000																																											
1312	1372	2104	2380	4790	4912	6498	6756	20000																																					
1066	1128	2136	2348	3936	4728	4972	5430	6512	6742	20000																																			
1190	2624	2838	3936	5036	5280	6194	6986	7200	20000																																				
1434	2594	2868	5096	5218	6956	7230	20000																																						
3020	4208	4454	5156	20000																																									
3532	4864	20001																																											
1324	1384	2116	2392	4802	4924	6510	6768	20001																																					
1078	1140	2148	2360	3984	4740	4984	5442	6524	6754	20001																																			
1202	2636	2850	3984	5048	5292	6206	7010	7224	20001																																				
1446	2606	2880	5108	5230	6980	7254	20001																																						
3044	4220	4466	5168	20001																																									
